Name,Price,Ratings
"Apple iPhone 6s (Silver, 16 GB)","₹22,490","92,814 Ratings "
"Apple iPhone 6s (Space Grey, 32 GB)","₹25,299","92,814 Ratings "
"Apple iPhone 7 (Silver, 32 GB)","₹29,799","93,840 Ratings "
"Apple iPhone 7 (Gold, 32 GB)","₹29,799","93,840 Ratings "
"Apple iPhone 7 (Rose Gold, 32 GB)","₹29,799","93,840 Ratings "
"Apple iPhone 6s (Space Grey, 16 GB)","₹31,999","92,814 Ratings "
"Apple iPhone 6s Plus (Rose Gold, 32 GB)","₹34,900","18,773 Ratings "
"Apple iPhone 6s Plus (Gold, 32 GB)","₹34,900","18,773 Ratings "
"Apple iPhone 7 (Red, 128 GB)","₹34,900","93,840 Ratings "
"Apple iPhone 7 (Jet Black, 128 GB)","₹34,900","93,840 Ratings "
"Apple iPhone 7 (Rose Gold, 128 GB)","₹34,900","93,840 Ratings "
"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)","₹35,900","73,726 Ratings "
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)","₹35,900","73,726 Ratings "
"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)","₹35,900","73,726 Ratings "
"Apple iPhone 7 Plus (Silver, 32 GB)","₹36,999","29,250 Ratings "
"Apple iPhone 7 Plus (Gold, 32 GB)","₹36,999","29,250 Ratings "
"Apple iPhone 7 Plus (Jet Black, 32 GB)","₹36,999","29,250 Ratings "
"Apple iPhone 7 Plus (Rose Gold, 32 GB)","₹36,999","29,250 Ratings "
"Apple iPhone 7 Plus (Black, 32 GB)","₹36,999","29,250 Ratings "
"Apple iPhone 8 (Silver, 64 GB)","₹38,999","11,099 Ratings "
"Apple iPhone 8 (Space Grey, 64 GB)","₹38,999","11,099 Ratings "
"Apple iPhone 8 (Gold, 64 GB)","₹38,999","11,099 Ratings "
"Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)","₹38,999",112 Ratings 
"Apple iPhone 6s (Silver, 128 GB)","₹39,999","92,814 Ratings "
